alim_code;alim_nom_fr;carbo;alim_image_url
31059;Bonbon dur et sucette;95,4;https://images.unsplash.com/photo-1534119428213-bd2626145164?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=800&q=80
11509;Édulcorant à l'aspartame, en poudre;94,7;https://www.gerble.fr/var/site/storage/images/_aliases/full_dossier/nos-dossiers/edulcorants-sucralose-aspartame-stevia-lequel-choisir/6011-6-fre-FR/edulcorants-sucralose-aspartame-stevia-lequel-choisir.jpg
24520;Meringue;94,3;https://images.unsplash.com/photo-1615792800805-41de09e63602?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1351&q=80
11510;Vermicelles multicolores;93;https://images.unsplash.com/photo-1517837125937-53bd402f49d6?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=658&q=80
31007;Chewing-gum, sucré;90,6;https://images.unsplash.com/photo-1598247318797-e43459817f43?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1308&q=80
9510;Amidon de maïs ou fécule de maïs;89,2;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fcontent.2Fuploads.2F2017.2F08.2Ffecule.2Ejpg/1200x900/quality/80/crop-from/center/8-facons-etonnantes-d-utiliser-la-fecule-de-mais.jpeg
31064;Édulcorant à la saccharine;88,8;http://s1.lprs1.fr/images/2020/07/17/8354340_0ef61c04-c803-11ea-bb79-47268465bf3c-1.jpg
13167;Céréales instantanées, poudre à reconstituer, dès 4/6 mois;88,3;https://i.unimedias.fr/2018/03/05/cereales.jpg
32107;Pétales de maïs glacés au sucre (non enrichis en vitamines et minéraux);88;https://images.unsplash.com/photo-1521483451569-e33803c0330c?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1954&q=80
4000;Tapioca ou Perles du Japon, cru;87,8;https://www.valpibio.com/wp-content/uploads/2020/05/tapioca-inside.jpg
32006;Riz soufflé nature, enrichi en vitamines et minéraux;87;https://eshop.demain-lepicerie.be/wp-content/uploads/2019/04/rice-krispies.jpg
31003;Bonbons, tout type;86,5;https://images.unsplash.com/photo-1615158838770-4908babaa409?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=633&q=80
4090;Fécule de pomme de terre;86,3;
32129;Boules de maïs soufflées au miel (non enrichies en vitamines et minéraux);86,2;
9232;Pop-corn ou Maïs éclaté, au caramel;85,4;https://images.unsplash.com/photo-1579642761360-eabd1cca1e81?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=634&q=80
32133;Boules de maïs soufflées au miel, enrichies en vitamines et minéraux;85,3;
96781;Amidon de riz;85;
18168;Poudre cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines;85;
42501;Poudre cacaotée pour bébé;85;
9902;Vermicelle de soja, sèche;84,7;
32121;Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux;84,7;
32012;Riz soufflé chocolaté (non enrichi en vitamines et minéraux);84,2;
31081;Bonbon au caramel, mou;83,7;https://i.pinimg.com/originals/04/f4/06/04f40672d197f40394835b462599b21b.jpg
32005;Pétales de maïs natures, enrichis en vitamines et minéraux;83,2;
32131;Riz soufflé chocolaté, enrichi en vitamines et minéraux;83,2;
32014;Pétales de maïs natures (non enrichis en vitamines et minéraux);82,8;
31021;Zeste d'orange confit;82,7;https://img.cuisineaz.com/660x660/2016-01-24/i93434-ecorces-d-oranges-confites.jpg
31121;Chewing-gum, teneur en sucre inconnue (aliment moyen);82,5;https://images.unsplash.com/photo-1598247318797-e43459817f43?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1308&q=80
7353;Galette multicéréales soufflée;82,4;https://le-quotidien-du-patient.fr/wp-content/uploads/2018/04/galette-de-riz-1024x683.jpg
23430;Feuille de brick, cuite à sec sans matière grasse;82,4;https://lh3.googleusercontent.com/proxy/njPJkBUsajlbpeqTtukDd1UG0J3xuJmcyv61lnfgcIXcgMmoPauNKGyPM6RZd6rd41nXBlyIevoFjSma1NsCcej0KvrbpFRnT2g4D5OMj8OmQ63RUik5w4Vi0bDr4uz158cA-5IuoxXhPesDdnZJfCAPiA
24320;Gaufrette fourrée, aux fruits;82,4;https://ampi.be/wp-content/uploads/2015/12/gaufres-aux-fruits-2-e1540913199660.jpg
32000;Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux;82,2;
31008;Miel;81,7;https://images.unsplash.com/photo-1587049352851-8d4e89133924?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=634&q=80
13168;Céréales instantanées, poudre à reconstituer, dès 6 mois;81,1;
31046;Caramel liquide ou nappage caramel;81;
9900;Vermicelle de riz, sèche;80,5;
7352;Galette de riz soufflé complet;80,5;https://i-reg.unimedias.fr/sites/art-de-vivre/files/styles/recipe/public/r58_camargue-galette-riz-bio_md.jpg?auto=compress%2Cformat&crop=faces%2Cedges&cs=srgb&fit=crop&h=500&w=393
32130;Blé khorasan complet soufflé;80,5;
24685;Cône ou cornet classique, pour glace;80,4;
31060;Bonbon gélifié;80,2;
